epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,923.239,0.92854,0.6182,0.91262,0.92286,0.93454,0.97472,0.75139,0.8914,0.60925,0.9195,0.00176806,0.00176806,0.00176806
43,944.92,0.89942,0.60017,0.91866,0.884,0.94357,0.9681,0.73324,0.88298,0.58204,0.91484,0.0017624,0.0017624,0.0017624
44,966.612,0.91264,0.59319,0.92158,0.92406,0.93388,0.97749,0.75175,0.85733,0.58016,0.92691,0.00175674,0.00175674,0.00175674
45,988.327,0.92167,0.61076,0.91115,0.91056,0.91921,0.96721,0.73128,0.90716,0.62179,0.92732,0.00175109,0.00175109,0.00175109
46,1010,0.89795,0.59709,0.90951,0.93732,0.91145,0.97648,0.74431,0.88074,0.58737,0.92373,0.00174543,0.00174543,0.00174543
47,1031.71,0.91437,0.60156,0.91426,0.9545,0.90971,0.97983,0.75923,0.84691,0.57233,0.91729,0.00173977,0.00173977,0.00173977
48,1053.39,0.89863,0.58842,0.90036,0.92572,0.87209,0.95766,0.70316,0.93365,0.66789,0.93831,0.00173411,0.00173411,0.00173411
49,1075.1,0.86836,0.58417,0.90866,0.93822,0.91196,0.97384,0.74928,0.84455,0.59653,0.91317,0.00172846,0.00172846,0.00172846
50,1096.81,0.87232,0.57315,0.90017,0.93652,0.92777,0.97676,0.75255,0.84937,0.57684,0.90837,0.0017228,0.0017228,0.0017228
51,1118.49,0.93619,0.60313,0.9187,0.88289,0.94582,0.97131,0.74395,0.87281,0.58752,0.927,0.00171714,0.00171714,0.00171714
52,1140.17,0.89981,0.58835,0.90743,0.91405,0.96614,0.977,0.76732,0.8206,0.54574,0.90663,0.00171149,0.00171149,0.00171149
53,1161.88,0.86906,0.56169,0.90227,0.92161,0.92886,0.97662,0.76067,0.85823,0.57926,0.90495,0.00170583,0.00170583,0.00170583
54,1183.57,0.86187,0.56433,0.89572,0.93186,0.92617,0.97867,0.77114,0.81186,0.55538,0.90271,0.00170017,0.00170017,0.00170017
55,1205.23,0.84164,0.55998,0.89353,0.9298,0.92681,0.97445,0.76244,0.82182,0.53898,0.9133,0.00169451,0.00169451,0.00169451
56,1226.9,0.87192,0.57916,0.90122,0.9232,0.8955,0.95787,0.72167,0.89148,0.62847,0.91144,0.00168886,0.00168886,0.00168886
57,1248.59,0.87334,0.57801,0.90552,0.91959,0.92932,0.97483,0.74112,0.88623,0.56407,0.92376,0.0016832,0.0016832,0.0016832
58,1270.29,0.85855,0.55753,0.90493,0.90347,0.92777,0.96897,0.74173,0.8832,0.58076,0.91577,0.00167754,0.00167754,0.00167754
59,1291.95,0.85668,0.5613,0.89532,0.92477,0.94341,0.97936,0.76188,0.84866,0.54633,0.91504,0.00167189,0.00167189,0.00167189
60,1313.67,0.85992,0.56293,0.89975,0.91575,0.90068,0.96542,0.74808,0.85339,0.59654,0.90049,0.00166623,0.00166623,0.00166623
61,1335.37,0.86459,0.55898,0.89782,0.94429,0.93679,0.98139,0.76158,0.86417,0.55665,0.90545,0.00166057,0.00166057,0.00166057
62,1357.09,0.87753,0.5691,0.88904,0.93131,0.89165,0.97017,0.76094,0.86432,0.59542,0.91023,0.00165491,0.00165491,0.00165491
63,1378.79,0.90142,0.57749,0.89899,0.92645,0.95034,0.98175,0.75553,0.83101,0.5392,0.89419,0.00164926,0.00164926,0.00164926
64,1400.5,0.84029,0.5415,0.88995,0.93178,0.91648,0.9764,0.75908,0.86715,0.56966,0.90805,0.0016436,0.0016436,0.0016436
65,1422.17,0.83915,0.5466,0.89764,0.95294,0.91412,0.97788,0.77582,0.81337,0.56059,0.90167,0.00163794,0.00163794,0.00163794
66,1443.83,0.85321,0.55356,0.8881,0.9172,0.92515,0.97339,0.76271,0.81163,0.56292,0.8955,0.00163229,0.00163229,0.00163229
67,1465.54,0.83341,0.54706,0.89408,0.93496,0.90864,0.97111,0.75936,0.79821,0.56787,0.89857,0.00162663,0.00162663,0.00162663
68,1487.27,0.8527,0.55184,0.89781,0.92083,0.96163,0.9825,0.76991,0.80924,0.52584,0.90409,0.00162097,0.00162097,0.00162097
69,1508.92,0.82523,0.5407,0.89128,0.92348,0.95347,0.98017,0.77052,0.80298,0.54061,0.91586,0.00161531,0.00161531,0.00161531
70,1530.58,0.82903,0.53505,0.88651,0.93468,0.93675,0.97854,0.76696,0.79056,0.53815,0.89629,0.00160966,0.00160966,0.00160966
71,1552.28,0.82864,0.52991,0.88713,0.95436,0.9441,0.98579,0.76662,0.7857,0.51209,0.89611,0.001604,0.001604,0.001604
72,1573.97,0.84367,0.55327,0.88666,0.92117,0.94965,0.97899,0.74733,0.85701,0.56436,0.90281,0.00159834,0.00159834,0.00159834
73,1595.66,0.83931,0.54516,0.87779,0.92415,0.93002,0.97953,0.76666,0.79629,0.54896,0.89722,0.00159269,0.00159269,0.00159269
74,1617.35,0.79895,0.5262,0.88879,0.94216,0.93454,0.98225,0.77021,0.82325,0.52958,0.90117,0.00158703,0.00158703,0.00158703
75,1639.05,0.81946,0.52685,0.88289,0.96078,0.94,0.98228,0.77223,0.79342,0.54415,0.89538,0.00158137,0.00158137,0.00158137
76,1660.72,0.82432,0.53365,0.88655,0.92754,0.8957,0.96776,0.76899,0.79126,0.57412,0.90124,0.00157571,0.00157571,0.00157571
77,1682.37,0.81649,0.53425,0.88203,0.94061,0.90971,0.97686,0.755,0.80073,0.54038,0.90043,0.00157006,0.00157006,0.00157006
78,1704.06,0.82208,0.52841,0.87717,0.91779,0.9526,0.97902,0.77733,0.80496,0.51921,0.89046,0.0015644,0.0015644,0.0015644
79,1725.77,0.80744,0.53194,0.87236,0.95051,0.95378,0.98638,0.77457,0.81533,0.52006,0.89271,0.00155874,0.00155874,0.00155874
80,1747.49,0.83267,0.52154,0.88639,0.94673,0.93002,0.98286,0.77027,0.80998,0.54567,0.89808,0.00155309,0.00155309,0.00155309
81,1769.18,0.83062,0.52273,0.87676,0.94483,0.92773,0.98053,0.78844,0.78674,0.52883,0.89956,0.00154743,0.00154743,0.00154743
82,1790.91,0.81951,0.52516,0.87785,0.94843,0.94808,0.98272,0.7822,0.80748,0.52667,0.90361,0.00154177,0.00154177,0.00154177
83,1812.55,0.80018,0.51696,0.87925,0.91729,0.9513,0.98208,0.78714,0.7871,0.51414,0.89934,0.00153611,0.00153611,0.00153611
84,1834.25,0.80768,0.51341,0.88937,0.93588,0.94131,0.98212,0.76954,0.83113,0.53854,0.91148,0.00153046,0.00153046,0.00153046
85,1855.92,0.82418,0.52693,0.88951,0.94621,0.94131,0.98456,0.78429,0.76968,0.51242,0.89714,0.0015248,0.0015248,0.0015248
86,1877.62,0.81411,0.52055,0.88051,0.89505,0.95485,0.97526,0.76347,0.80764,0.53978,0.89006,0.00151914,0.00151914,0.00151914
87,1899.32,0.82197,0.52434,0.87425,0.92118,0.92325,0.97928,0.77012,0.79997,0.52631,0.88677,0.00151349,0.00151349,0.00151349
88,1921.02,0.80743,0.51385,0.8769,0.95778,0.92187,0.98172,0.78414,0.76487,0.51992,0.89224,0.00150783,0.00150783,0.00150783
89,1942.75,0.79486,0.51393,0.87512,0.92472,0.94282,0.97623,0.77398,0.78814,0.52585,0.89846,0.00150217,0.00150217,0.00150217
90,1964.42,0.80238,0.51949,0.87247,0.95679,0.93002,0.98057,0.77199,0.77488,0.53131,0.88429,0.00149651,0.00149651,0.00149651
91,1986.09,0.78586,0.50544,0.87085,0.95956,0.94808,0.98501,0.79159,0.77587,0.51377,0.89277,0.00149086,0.00149086,0.00149086
92,2007.77,0.79448,0.51554,0.88123,0.92613,0.94808,0.98408,0.78336,0.75934,0.50107,0.8831,0.0014852,0.0014852,0.0014852
93,2029.47,0.79245,0.50571,0.87026,0.92683,0.94359,0.97789,0.76977,0.78658,0.52311,0.89335,0.00147954,0.00147954,0.00147954
94,2051.16,0.78461,0.49543,0.88264,0.95234,0.94721,0.98282,0.78165,0.77205,0.5083,0.88161,0.00147389,0.00147389,0.00147389
95,2072.84,0.80455,0.50815,0.87719,0.96047,0.93248,0.98159,0.77921,0.77855,0.49329,0.88821,0.00146823,0.00146823,0.00146823
96,2094.54,0.81005,0.51318,0.87284,0.95124,0.92485,0.97818,0.78934,0.76241,0.54551,0.89197,0.00146257,0.00146257,0.00146257
97,2116.22,0.77757,0.49316,0.87056,0.93496,0.94106,0.98163,0.78789,0.77082,0.52889,0.88422,0.00145691,0.00145691,0.00145691
98,2137.88,0.80035,0.50965,0.8773,0.9323,0.9526,0.98245,0.78853,0.75637,0.50689,0.88678,0.00145126,0.00145126,0.00145126
99,2159.53,0.80769,0.49826,0.87299,0.93512,0.95485,0.98389,0.7898,0.77034,0.50324,0.88987,0.0014456,0.0014456,0.0014456
100,2181.24,0.79096,0.5022,0.8678,0.92997,0.96614,0.9837,0.78113,0.78807,0.5149,0.88367,0.00143994,0.00143994,0.00143994
101,2202.96,0.78403,0.49255,0.87448,0.93562,0.93905,0.97898,0.7857,0.77863,0.52106,0.88953,0.00143429,0.00143429,0.00143429
102,2224.68,0.79355,0.48794,0.8795,0.95929,0.94131,0.98418,0.78437,0.76596,0.48783,0.89178,0.00142863,0.00142863,0.00142863
103,2246.37,0.80164,0.51006,0.88188,0.92396,0.93905,0.97794,0.78051,0.77492,0.52789,0.88668,0.00142297,0.00142297,0.00142297
104,2268.01,0.77375,0.48126,0.87619,0.93466,0.96388,0.98368,0.79636,0.77671,0.49808,0.88433,0.00141731,0.00141731,0.00141731
105,2289.69,0.78692,0.49397,0.86331,0.94182,0.93905,0.97945,0.77988,0.75149,0.48674,0.88315,0.00141166,0.00141166,0.00141166
106,2311.39,0.77978,0.47794,0.87582,0.93645,0.93138,0.97474,0.76895,0.78324,0.51124,0.88919,0.001406,0.001406,0.001406
107,2333.05,0.79358,0.49335,0.87167,0.91783,0.93905,0.97835,0.78543,0.78167,0.53895,0.88652,0.00140034,0.00140034,0.00140034
108,2354.75,0.77625,0.49714,0.8694,0.93738,0.94582,0.98135,0.77854,0.78317,0.51981,0.89091,0.00139469,0.00139469,0.00139469
109,2376.46,0.79086,0.50281,0.87202,0.96357,0.93454,0.9838,0.79568,0.7567,0.50184,0.88427,0.00138903,0.00138903,0.00138903
110,2398.16,0.78937,0.48942,0.86316,0.95789,0.92099,0.98026,0.79107,0.72676,0.50076,0.88508,0.00138337,0.00138337,0.00138337
