epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1136.54,0.86407,0.55076,0.92157,0.92918,0.94776,0.98106,0.74801,0.84219,0.53089,0.9185,0.00176806,0.00176806,0.00176806
43,1163.94,0.86814,0.54395,0.91498,0.93524,0.95485,0.98357,0.74878,0.85846,0.51378,0.91494,0.0017624,0.0017624,0.0017624
44,1190.77,0.86242,0.53834,0.91635,0.92511,0.94801,0.97742,0.73392,0.8652,0.5627,0.93411,0.00175674,0.00175674,0.00175674
45,1217.62,0.90914,0.56773,0.90727,0.93392,0.94808,0.98131,0.76121,0.85207,0.51436,0.91501,0.00175109,0.00175109,0.00175109
46,1244.48,0.89463,0.54389,0.91163,0.94282,0.92551,0.97907,0.76295,0.8213,0.51272,0.9025,0.00174543,0.00174543,0.00174543
47,1271.34,0.92096,0.54675,0.92753,0.94172,0.9484,0.98493,0.77835,0.80925,0.49974,0.90647,0.00173977,0.00173977,0.00173977
48,1298.19,0.84773,0.52395,0.90959,0.9353,0.94582,0.97961,0.76641,0.83875,0.50385,0.91461,0.00173411,0.00173411,0.00173411
49,1325.04,0.90479,0.55268,0.91111,0.90252,0.96135,0.97543,0.74695,0.84258,0.52247,0.91309,0.00172846,0.00172846,0.00172846
50,1351.85,0.86206,0.52249,0.90112,0.93682,0.93727,0.98102,0.75869,0.83485,0.50742,0.9002,0.0017228,0.0017228,0.0017228
51,1378.69,0.87629,0.52414,0.91768,0.96033,0.92885,0.98248,0.76038,0.82842,0.51413,0.90623,0.00171714,0.00171714,0.00171714
52,1405.51,0.86047,0.54032,0.91481,0.91862,0.94276,0.97475,0.7527,0.85476,0.5156,0.92126,0.00171149,0.00171149,0.00171149
53,1432.37,0.83123,0.52376,0.90714,0.93953,0.95711,0.98263,0.76939,0.8432,0.48693,0.91319,0.00170583,0.00170583,0.00170583
54,1459.2,0.84515,0.52936,0.90385,0.93305,0.95937,0.98033,0.77362,0.82143,0.50917,0.91099,0.00170017,0.00170017,0.00170017
55,1486.07,0.83218,0.51873,0.90146,0.93965,0.91381,0.97134,0.75675,0.81929,0.5271,0.89815,0.00169451,0.00169451,0.00169451
56,1512.91,0.83621,0.50407,0.90184,0.95409,0.93828,0.982,0.783,0.77071,0.50134,0.89818,0.00168886,0.00168886,0.00168886
57,1540.31,0.83241,0.5154,0.90384,0.95058,0.91184,0.97993,0.74411,0.86303,0.50586,0.90817,0.0016832,0.0016832,0.0016832
58,1567.16,0.82807,0.50944,0.90495,0.94571,0.93002,0.97856,0.77831,0.77636,0.48384,0.90532,0.00167754,0.00167754,0.00167754
59,1594.04,0.83729,0.5202,0.90445,0.95458,0.94886,0.98174,0.76158,0.82146,0.4848,0.91876,0.00167189,0.00167189,0.00167189
60,1620.85,0.84035,0.49979,0.90205,0.94117,0.93905,0.96944,0.76169,0.78807,0.49312,0.89964,0.00166623,0.00166623,0.00166623
61,1647.69,0.82958,0.49541,0.89922,0.91574,0.96163,0.98245,0.77346,0.78734,0.47313,0.89297,0.00166057,0.00166057,0.00166057
62,1674.52,0.84704,0.51204,0.90231,0.94634,0.95937,0.98579,0.76135,0.83011,0.50548,0.90924,0.00165491,0.00165491,0.00165491
63,1701.32,0.83487,0.50386,0.90204,0.89874,0.96388,0.97758,0.73324,0.90334,0.51873,0.90407,0.00164926,0.00164926,0.00164926
64,1728.14,0.82576,0.50299,0.90014,0.90359,0.94808,0.97497,0.75986,0.79768,0.49824,0.89642,0.0016436,0.0016436,0.0016436
65,1755,0.79623,0.49214,0.90002,0.94675,0.96321,0.98581,0.77385,0.78949,0.4713,0.89304,0.00163794,0.00163794,0.00163794
66,1781.79,0.79662,0.48846,0.89334,0.92661,0.96163,0.98416,0.791,0.78221,0.45996,0.89597,0.00163229,0.00163229,0.00163229
67,1808.63,0.82793,0.49062,0.90569,0.92339,0.95233,0.98063,0.7776,0.78915,0.48585,0.89128,0.00162663,0.00162663,0.00162663
68,1835.49,0.82622,0.49204,0.90825,0.95672,0.95711,0.98753,0.78426,0.8042,0.47334,0.91223,0.00162097,0.00162097,0.00162097
69,1862.35,0.81717,0.48991,0.9025,0.90194,0.97585,0.98267,0.78582,0.75752,0.49071,0.89756,0.00161531,0.00161531,0.00161531
70,1889.2,0.81731,0.49707,0.8964,0.94481,0.92751,0.98121,0.786,0.77708,0.45955,0.89129,0.00160966,0.00160966,0.00160966
71,1916.59,0.79337,0.47112,0.89122,0.93699,0.97517,0.98619,0.78136,0.79366,0.45872,0.89493,0.001604,0.001604,0.001604
72,1943.44,0.79533,0.47081,0.89222,0.93539,0.94808,0.98267,0.79579,0.76057,0.4655,0.8987,0.00159834,0.00159834,0.00159834
73,1970.29,0.78684,0.48054,0.88543,0.95242,0.9526,0.98362,0.78104,0.7777,0.46648,0.88615,0.00159269,0.00159269,0.00159269
74,1997.13,0.80034,0.487,0.8939,0.94672,0.95034,0.98013,0.77635,0.773,0.48304,0.89478,0.00158703,0.00158703,0.00158703
75,2023.98,0.78758,0.48259,0.89484,0.93868,0.96751,0.98519,0.79394,0.74188,0.45125,0.88728,0.00158137,0.00158137,0.00158137
76,2050.8,0.79766,0.46907,0.88776,0.95396,0.9526,0.98582,0.79213,0.75251,0.46328,0.89257,0.00157571,0.00157571,0.00157571
77,2077.64,0.78245,0.4693,0.88859,0.93446,0.9526,0.98126,0.77675,0.77004,0.47225,0.89311,0.00157006,0.00157006,0.00157006
78,2104.43,0.79785,0.48081,0.88507,0.93649,0.96163,0.98798,0.79594,0.76147,0.46487,0.89469,0.0015644,0.0015644,0.0015644
79,2131.27,0.80235,0.48337,0.89484,0.9335,0.95059,0.983,0.77022,0.80745,0.48729,0.89612,0.00155874,0.00155874,0.00155874
80,2158.12,0.79072,0.48444,0.878,0.94858,0.95783,0.98609,0.78521,0.80842,0.46643,0.89848,0.00155309,0.00155309,0.00155309
81,2184.95,0.78867,0.47447,0.87256,0.95824,0.93235,0.97926,0.77683,0.79604,0.47493,0.90256,0.00154743,0.00154743,0.00154743
82,2211.75,0.80664,0.47122,0.89489,0.93158,0.9528,0.98343,0.77648,0.8018,0.46262,0.89982,0.00154177,0.00154177,0.00154177
83,2238.59,0.78226,0.45385,0.88598,0.95817,0.94808,0.98688,0.78884,0.77454,0.45345,0.89875,0.00153611,0.00153611,0.00153611
84,2265.4,0.77294,0.45689,0.87569,0.95307,0.96276,0.98629,0.76051,0.82139,0.45499,0.89443,0.00153046,0.00153046,0.00153046
85,2292.79,0.78039,0.45838,0.89036,0.96513,0.95711,0.98792,0.78033,0.7876,0.44916,0.89612,0.0015248,0.0015248,0.0015248
86,2319.64,0.77752,0.44544,0.89251,0.95548,0.969,0.98658,0.78882,0.7794,0.44383,0.90086,0.00151914,0.00151914,0.00151914
87,2346.5,0.77119,0.44794,0.88374,0.95803,0.97065,0.98587,0.7956,0.77213,0.44477,0.88657,0.00151349,0.00151349,0.00151349
88,2373.31,0.79523,0.47198,0.89452,0.96239,0.93679,0.98494,0.77349,0.77289,0.47186,0.88996,0.00150783,0.00150783,0.00150783
89,2400.17,0.7977,0.46627,0.893,0.94548,0.9396,0.98524,0.7889,0.75702,0.44744,0.89846,0.00150217,0.00150217,0.00150217
90,2426.98,0.77511,0.45289,0.8922,0.95201,0.93679,0.98539,0.78664,0.77792,0.45917,0.89142,0.00149651,0.00149651,0.00149651
91,2453.79,0.78406,0.44935,0.87303,0.96205,0.97283,0.98842,0.78949,0.75945,0.44644,0.89013,0.00149086,0.00149086,0.00149086
92,2480.64,0.77572,0.45184,0.87542,0.94857,0.95756,0.9826,0.79353,0.76491,0.44389,0.88788,0.0014852,0.0014852,0.0014852
93,2507.47,0.76742,0.44764,0.87166,0.91802,0.94808,0.97631,0.78465,0.7632,0.45555,0.88406,0.00147954,0.00147954,0.00147954
94,2534.28,0.77031,0.44672,0.87923,0.95656,0.96163,0.98769,0.79843,0.74507,0.42708,0.88185,0.00147389,0.00147389,0.00147389
